day,mean,median,std,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95,date
0,4099.510000000212,4099.509999999998,2.1374194228094298e-10,4099.509999999998,4099.509999999998,4099.509999999998,4099.509999999998,4099.509999999998,4099.509999999998,2025-06-27
1,4099.285669832071,4099.300275873435,26.91820735692261,4064.9293533585374,4133.486335528266,4054.971233583029,4143.135483023618,4046.0743689486126,4151.705411857238,2025-06-30
2,4099.308218170459,4098.969178568595,38.04851359794888,4050.371713533823,4148.730846311897,4036.561281042432,4162.281037678873,4024.887138584642,4174.152350215301,2025-07-01
3,4099.757624617853,4099.691049243922,46.613964093403744,4039.8701047071954,4159.67580618452,4023.2271989159485,4178.290122580076,4009.153839813705,4193.612605819787,2025-07-02
4,4100.150632982156,4099.997382776033,53.877350760518404,4031.042472195403,4169.467317742166,4013.241326940159,4190.690825294528,3995.7588700295796,4209.69064013428,2025-07-03
5,4100.329474290502,4099.635775329821,59.77199497261868,4023.915543255589,4177.837154098413,4002.365131869606,4199.928414703903,3985.802198890611,4218.904714278429,2025-07-04
6,4100.376784135567,4099.744371493811,65.68998918053246,4015.893557951937,4185.153164973272,3994.407553885101,4209.713830292749,3974.4457444935624,4229.057720516377,2025-07-07
7,4100.596251616994,4100.148639089032,71.20108371299654,4009.7640542038043,4191.9496201648835,3984.608799230051,4216.942901027627,3963.6246011146313,4242.119617276114,2025-07-08
8,4100.399378135146,4098.703197371625,76.4044852953421,4003.281411876198,4200.334196325908,3976.7679423257123,4226.93418486986,3954.9405873523233,4251.189609445401,2025-07-09
9,4100.915390360615,4099.4724246034375,80.66625641550698,3998.4705349032392,4205.661399574307,3970.4299445278807,4235.220339799069,3946.2451541555088,4263.005218118197,2025-07-10
10,4101.025467934568,4100.044896921887,85.0434658157084,3992.589849693899,4212.2148825355425,3963.8376448302165,4242.994426349635,3938.4556277666106,4270.1361458841575,2025-07-11
11,4100.883946764733,4099.16892748216,88.87208948405458,3987.4173860329993,4215.741721271762,3957.777918806588,4248.89516203525,3933.078723627648,4278.5828470336655,2025-07-14
12,4101.510571593364,4099.820519779754,92.73903090001889,3981.336181670819,4221.816929098224,3953.093591394986,4257.7691791510315,3928.861682956502,4285.925348375407,2025-07-15
13,4101.357439384069,4098.721972682052,96.62013542858146,3977.5479726118047,4227.193626483546,3946.1142005680213,4264.874225189743,3922.131627841537,4292.570290918519,2025-07-16
14,4101.432555432656,4097.8910954666735,100.11073950809083,3973.8071869672754,4232.47098989235,3940.1769501945278,4268.183264478184,3913.468185326569,4302.562109357142,2025-07-17
15,4101.3768138385385,4098.987286890886,103.71110135888752,3968.6595552593944,4235.109086042743,3934.944346749486,4275.591483389622,3906.01178412012,4309.4456632277,2025-07-18
16,4101.307194172441,4099.255283981566,106.90488640178442,3965.127655185562,4238.548989909496,3929.493647928631,4280.300910321817,3898.3487053224017,4313.447701647323,2025-07-21
17,4101.602863236179,4098.984063901446,110.43811040510145,3961.1872214497644,4242.716187149044,3925.468998642318,4286.502153981781,3890.5915220341785,4324.945612113454,2025-07-22
18,4101.533246523214,4098.725886043935,113.4181170089433,3956.8397360896383,4247.016355102954,3921.554221930946,4293.482918920117,3887.5200651858795,4330.548463114218,2025-07-23
19,4101.73098963074,4098.252443233487,116.62318306709804,3953.487520246272,4254.354618184259,3916.8283531646916,4298.137775130977,3881.4497451651505,4336.6822173633445,2025-07-24
20,4101.994354183462,4098.828930772719,119.76835790014621,3951.316708473457,4255.986022614846,3910.8427233111215,4307.25570974464,3874.7665732657074,4345.6018455548765,2025-07-25
21,4102.024062637699,4098.781064664128,122.54707095747028,3948.4665015457895,4262.5681627837175,3906.3216292392212,4313.0544641875,3870.804581990139,4351.883300305805,2025-07-28
22,4101.848951739142,4098.24276607645,125.4479653258243,3943.4749849917625,4266.527429157116,3901.7120875786395,4315.007695637922,3867.2134705526837,4356.313875909174,2025-07-29
23,4101.697872806246,4098.054097247625,128.43222191578278,3940.501784954557,4268.916707991449,3895.3826964504055,4321.325932004111,3862.2597336445283,4365.4511757786595,2025-07-30
24,4101.890369070567,4098.8809323036785,130.6999369876382,3938.3314981499875,4271.339076267269,3892.407187679885,4322.340419346917,3855.748437557854,4371.425277983316,2025-07-31
25,4101.809402247534,4098.295341930636,133.1021157135945,3935.1317597918114,4273.7569302114625,3887.559629179817,4329.16240537682,3852.260621617338,4373.677800294472,2025-08-01
26,4101.813898167905,4098.220276790833,136.1371265258497,3931.646542122973,4280.657445340209,3883.782294864218,4333.380080378038,3844.698571312422,4377.050840641404,2025-08-04
27,4101.604830990337,4097.347184665336,138.76443872037478,3928.7657749607374,4283.447277622377,3879.404301044221,4336.256960561013,3838.1592197117616,4381.607579021493,2025-08-05
28,4101.700318608736,4097.510480393552,140.99936609257279,3925.606049508583,4287.752837518451,3875.624618319843,4341.244489213219,3834.1592421845794,4389.654490767851,2025-08-06
29,4101.784861545357,4096.729460422708,143.02289372954166,3924.353412306766,4287.151434338762,3874.003426450611,4345.654209332129,3830.2978369302245,4392.345090461674,2025-08-07
30,4102.106795495664,4099.125493829248,145.1512903166103,3919.837039181746,4291.542418267281,3869.0236427269697,4350.062119198029,3829.0483048034125,4397.370908224315,2025-08-08
